text,label
明天天气会广州吗,weather
深证成指今天涨了多少,stock
订一张从北京到南京的机票,travel
帮我查一下杭州的天气,weather
请帮我查杭州的航班,travel
南京会下雨吗,weather
今天深圳怎么样,weather
帮我查一下贵州茅台的股价,stock
南京会下雨吗,weather
比亚迪今天涨了多少,stock
腾讯控股指数今日走势如何,stock
帮我查南京到西安的火车票,travel
请告诉我杭州的天气情况,weather
我想去西安旅游，订酒店,travel
上证指数现在是多少,stock
腾讯控股股票行情怎么样,stock
帮我查一下上证指数的股价,stock
天津气温多少度,weather
比亚迪今天涨了多少,stock
我想去广州旅游，订酒店,travel
深证成指指数今日走势如何,stock
比亚迪指数今日走势如何,stock
西安会下雨吗,weather
天津气温多少度,weather
比亚迪指数今日走势如何,stock
订一张从北京到广州的机票,travel
今天成都怎么样,weather
安排一趟重庆到广州的出差行程,travel
上证指数现在是多少,stock
帮我查一下天津的天气,weather
深证成指今天涨了多少,stock
比亚迪今天涨了多少,stock
贵州茅台指数今日走势如何,stock
阿里巴巴指数今日走势如何,stock
安排一趟北京到重庆的出差行程,travel
成都气温多少度,weather
比亚迪今天涨了多少,stock
帮我查一下广州的天气,weather
帮我查上海到深圳的火车票,travel
天津会下雨吗,weather
阿里巴巴今天涨了多少,stock
帮我查北京到成都的火车票,travel
上证指数指数今日走势如何,stock
订一张从南京到深圳的机票,travel
明天天气会杭州吗,weather
北京气温多少度,weather
我想去西安旅游，订酒店,travel
北京会下雨吗,weather
帮我查一下贵州茅台的股价,stock
安排一趟重庆到北京的出差行程,travel
帮我查南京到成都的火车票,travel
北京气温多少度,weather
上海气温多少度,weather
请帮我查南京的航班,travel
帮我查杭州到深圳的火车票,travel
上证指数现在是多少,stock
上证指数指数今日走势如何,stock
请告诉我杭州的天气情况,weather
帮我查一下深证成指的股价,stock
安排一趟上海到西安的出差行程,travel
我想去杭州旅游，订酒店,travel
深证成指股票行情怎么样,stock
订一张从天津到重庆的机票,travel
帮我查西安到上海的火车票,travel
安排一趟上海到重庆的出差行程,travel
腾讯控股股票行情怎么样,stock
明天天气会北京吗,weather
杭州气温多少度,weather
上证指数指数今日走势如何,stock
腾讯控股今天涨了多少,stock
帮我查一下阿里巴巴的股价,stock
南京气温多少度,weather
今天北京怎么样,weather
订一张从上海到广州的机票,travel
阿里巴巴指数今日走势如何,stock
今天南京怎么样,weather
订一张从天津到成都的机票,travel
深证成指指数今日走势如何,stock
阿里巴巴今天涨了多少,stock
成都会下雨吗,weather
我想去成都旅游，订酒店,travel
帮我查一下广州的天气,weather
明天天气会深圳吗,weather
深证成指今天涨了多少,stock
明天天气会南京吗,weather
请帮我查天津的航班,travel
西安会下雨吗,weather
帮我查一下上证指数的股价,stock
明天天气会南京吗,weather
订一张从杭州到重庆的机票,travel
深证成指今天涨了多少,stock
请帮我查北京的航班,travel
安排一趟西安到南京的出差行程,travel
腾讯控股指数今日走势如何,stock
安排一趟天津到北京的出差行程,travel
南京气温多少度,weather
今天上海怎么样,weather
深证成指股票行情怎么样,stock
请帮我查西安的航班,travel
帮我查南京到北京的火车票,travel
帮我查一下阿里巴巴的股价,stock
帮我查西安到重庆的火车票,travel
我想去杭州旅游，订酒店,travel
比亚迪股票行情怎么样,stock
请帮我查成都的航班,travel
上证指数指数今日走势如何,stock
上海气温多少度,weather
上证指数现在是多少,stock
订一张从南京到重庆的机票,travel
深证成指今天涨了多少,stock
贵州茅台股票行情怎么样,stock
广州气温多少度,weather
贵州茅台指数今日走势如何,stock
今天南京怎么样,weather
请告诉我广州的天气情况,weather
上海会下雨吗,weather
明天天气会南京吗,weather
安排一趟天津到杭州的出差行程,travel
安排一趟南京到重庆的出差行程,travel
贵州茅台今天涨了多少,stock
贵州茅台今天涨了多少,stock
重庆气温多少度,weather
上证指数现在是多少,stock
订一张从杭州到广州的机票,travel
深证成指今天涨了多少,stock
订一张从南京到杭州的机票,travel
帮我查一下腾讯控股的股价,stock
西安气温多少度,weather
安排一趟南京到重庆的出差行程,travel
请帮我查南京的航班,travel
安排一趟西安到南京的出差行程,travel
帮我查一下腾讯控股的股价,stock
阿里巴巴股票行情怎么样,stock
贵州茅台股票行情怎么样,stock
上证指数股票行情怎么样,stock
杭州气温多少度,weather
上证指数现在是多少,stock
阿里巴巴今天涨了多少,stock
腾讯控股今天涨了多少,stock
帮我查一下南京的天气,weather
帮我查一下比亚迪的股价,stock
重庆气温多少度,weather
明天天气会南京吗,weather
深证成指股票行情怎么样,stock
安排一趟上海到杭州的出差行程,travel
帮我查一下比亚迪的股价,stock
阿里巴巴股票行情怎么样,stock
帮我查一下天津的天气,weather
我想去重庆旅游，订酒店,travel
订一张从杭州到重庆的机票,travel
帮我查一下深证成指的股价,stock
阿里巴巴今天涨了多少,stock
安排一趟西安到上海的出差行程,travel
安排一趟天津到上海的出差行程,travel
上海会下雨吗,weather
订一张从上海到西安的机票,travel
